Category,Event Name,Properties,HubSpot Integration,Description
Authentication & Account,Sign Up: Click Login,,No,User on the sign-up page clicked Login here to go to the login page.
Authentication & Account,Sign In: Click Create Account,,No,User on the login page clicked Create an account.
Authentication & Account,Sign In: Click Forgot Password,,No,User on the login page clicked Forgot your password?.
Authentication & Account,Account - Password Reset Requested,,No,User submitted a forgot-password request.
Authentication & Account,Account - Password Reset Completed,,No,User successfully reset their password via the reset link.
Authentication & Account,Account - Password Set Completed,,No,User finished setting a new password (post-registration or invite).
Authentication & Account,Set Password: Click Set Password,,No,User clicked the submit button on the set-password form.
Onboarding (Candidate),Onboarding - Registration Completed,"signUpDate, signUpMethod",No,User completed account registration. signUpMethod defaults to email.
Onboarding (Candidate),Onboarding: Click Finish Later,step,No,User bailed out of onboarding mid-flow.
Onboarding (Candidate),Onboarding - Candidate Office Searched,"zipCode, officeLevel, officeName",No,Debounced search event fired as the user types in the office search box.
Onboarding (Candidate),Onboarding - Office Step: Click Next,step,No,User clicked Next on the office selection step.
Onboarding (Candidate),Onboarding - Office Step: Click Back,,No,User clicked Back on the office step.
Onboarding (Candidate),Onboarding - Office Step: Office Selected,office (position name),No,User clicked a specific office from the search results list.
Onboarding (Candidate),Onboarding - Candidate Office Completed,"officeName, officeState, officeElectionDate, officeManuallyInput (bool)",No,Office was saved. officeManuallyInput true means the user typed in a custom office instead of selecting from ballot data.
Onboarding (Candidate),Onboarding - Office Step: Click Can't See Office,,No,User clicked Cant see my office to open the manual entry form.
Onboarding (Candidate),Onboarding - Party Step: Click Submit,step,No,User clicked Submit on the party affiliation step.
Onboarding (Candidate),Invalid Party,party,No,User tried to submit an unsupported party name.
Onboarding (Candidate),Onboarding - Candidate Affiliation Completed,affiliation,No,Party affiliation was saved successfully.
Onboarding (Candidate),Onboarding - Pledge Step: Click Submit,,No,User clicked Submit on the Good Party pledge step.
Onboarding (Candidate),Onboarding - Candidate Pledge Completed,,No,Pledge was accepted and saved.
Onboarding (Candidate),Onboarding - Complete Step: Click Go to Dashboard,,No,User clicked Go to Dashboard on the final onboarding screen.
Onboarding (Candidate),onboarding_complete,type: candidate,No,Campaign was successfully launched at the end of onboarding.
Serve Onboarding,Serve Onboarding - Getting Started Viewed,,No,Official viewed step 1 of the serve onboarding flow.
Serve Onboarding,Serve Onboarding - Meet Your Constituents Viewed,,No,Official saw the constituency insights loading screen.
Serve Onboarding,Serve Onboarding - Sworn In Viewed,,No,Official viewed the sworn-in step.
Serve Onboarding,Serve Onboarding - Sworn In Completed,,No,Official completed the sworn-in step.
Serve Onboarding,Serve Onboarding - Constituency Profile Viewed,,No,Official viewed their constituency profile/data.
Serve Onboarding,Serve Onboarding - Poll Value Props Viewed,,No,Official saw the poll feature value proposition page.
Serve Onboarding,Serve Onboarding - Poll Strategy Viewed,,No,Official viewed the poll strategy step.
Serve Onboarding,Serve Onboarding - Add Image Viewed,,No,Official viewed the add-image step for their poll.
Serve Onboarding,Serve Onboarding - Poll Image Uploaded,,No,Official uploaded a poll image.
Serve Onboarding,Serve Onboarding - Poll Preview Viewed,,No,Official previewed their poll before sending.
Serve Onboarding,Serve Onboarding - SMS Poll Sent,"sendDate, message",No,Poll was sent to constituents via SMS.
Serve Onboarding,Serve Onboarding - Success Page Viewed,,No,Official reached the success screen after completing serve onboarding.
Serve Onboarding,Serve Onboarding - SMS Poll Creation Failed,reachableConstituentCount,No,Poll creation failed because too few constituents have cell phones.
Navigation,Navigation - Top: Click Logo,pathname,No,User clicked the Good Party logo in the top nav.
Navigation,Navigation - Top: Click Avatar Dropdown,,No,User clicked their avatar to open the profile dropdown.
Navigation,Navigation - Top - Avatar Dropdown: Close Dropdown,,No,User closed the avatar dropdown.
Navigation,Navigation Top - Avatar Dropdown: Click Settings,,No,User clicked Settings in the dropdown.
Navigation,Navigation Top - Avatar Dropdown: Click Logout,,No,User clicked Logout in the dropdown.
Navigation,Navigation - Dashboard: Click Dashboard,,No,User clicked Dashboard in the left sidebar.
Navigation,Navigation - Dashboard: Click AI Assistant,,No,User clicked AI Assistant in the sidebar.
Navigation,Navigation - Dashboard: Click Voter Data,,No,User clicked Voter Data in the sidebar.
Navigation,Navigation - Dashboard: Click Door Knocking,,No,User clicked Door Knocking in the sidebar.
Navigation,Navigation - Dashboard: Click Content Builder,,No,User clicked Content Builder in the sidebar.
Navigation,Navigation - Dashboard: Click My Profile,,No,User clicked My Profile in the sidebar.
Navigation,Navigation - Dashboard: Click Community,,No,User clicked Community in the sidebar.
Navigation,Navigation - Dashboard: Click Website,,No,User clicked Website in the sidebar.
Navigation,Navigation - Dashboard: Click Voter Outreach,,No,User clicked Voter Outreach in the sidebar.
Navigation,Navigation - Dashboard: Click Contacts,,No,User clicked Contacts in the sidebar.
Navigation,Navigation - Dashboard: Click Polls,,No,User clicked Polls in the sidebar.
Dashboard,Dashboard - Candidate Dashboard Viewed,p2vCompleted (true/false),No,User loaded the main dashboard. Captures whether their Path to Victory analysis is complete.
Dashboard,Dashboard - Path to Victory: Exit Understand Path to Victory,,No,User closed the Path to Victory info modal.
Dashboard,Dashboard - Campaign Action History: Click Menu,id,No,User opened the overflow menu on a campaign history entry.
Voter Contact,Voter Outreach - Campaign Completed,"recipientCount, price, medium, method, campaignName",No,A voter outreach campaign was logged as complete. medium is the channel (texting / door knocking / phone banking etc.).
Voter Contact,Schedule Text Campaign: Exit,step,No,User exited the schedule text campaign modal.
Voter Contact,Schedule Text Campaign: Next,step,No,User advanced a step in the text campaign scheduling flow.
Voter Contact,Schedule Text Campaign: Back,step,No,User went back a step in the text campaign scheduling flow.
Voter Contact,Schedule Text Campaign: Submit,,No,User submitted the text campaign for scheduling.
Voter Contact,Schedule Text Campaign: Complete - Return to Dashboard,,No,User returned to the dashboard after completing a text campaign setup.
Voter Contact,Schedule Text Campaign: Complete - Return to Voter File,,No,User returned to the voter file after completing a text campaign setup.
Voter Contact,Schedule Text Campaign - Audience: Check Audience,,No,User checked an audience filter option.
Voter Contact,Schedule Text Campaign - Audience: Check Political Party,,No,User filtered by political party in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Check Age,,No,User filtered by age in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Check Gender,,No,User filtered by gender in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Enter Audience Request,,No,User entered a custom audience request.
Voter Contact,Schedule Text Campaign - Script: Click Use a saved script,,No,User opted to use a previously saved script.
Voter Contact,Schedule Text Campaign - Script: Select Saved Script,,No,User selected a specific saved script.
Voter Contact,Schedule Text Campaign - Script: Click Generate a new script,,No,User opted to generate a new AI script.
Voter Contact,Schedule Text Campaign - Script: Click Add your own script,,No,User opted to write their own script.
Voter Contact,Schedule Text Campaign - Script: Submit added script,,No,User submitted their custom-written script.
Outreach Page,Outreach - View Accessed,,No,User navigated to the Outreach section.
Outreach Page,Outreach - Click Create,type,No,User clicked Create for a specific outreach channel.
Outreach Page,Voter Outreach - 10DLC Compliance Modal Viewed,source: outreach_page,YES - HubSpot,The 10DLC compliance modal was shown before the user could send texts.
Outreach Page,Voter Outreach - 10DLC Compliance Started,source: outreach_page,No,User began the 10DLC compliance registration.
Outreach Page,Voter Outreach - 10DLC Compliance Form Submitted,source: compliance_flow,YES - HubSpot workflow 1739292528,User submitted the compliance registration form.
Outreach Page,Voter Outreach - 10DLC Compliance PIN Submitted,source: compliance_flow,YES - HubSpot workflow 1739202168,User submitted their compliance PIN verification.
Outreach Page,10 DLC Compliance - Registration Submitted,,No,Full DLC compliance registration was submitted.
Outreach Page,10 DLC Compliance - PIN Verification Completed,,No,PIN verification step was completed.
Outreach Page,Voter Outreach - Payment Started,"channel, units, cost",No,User reached the payment step for a voter outreach campaign.
Outreach Page,Outreach - Social Media: Complete,"medium: social_media, price: 0, voterContacts: 0",No,User completed a social media outreach task.
Outreach Page,Outreach - Door Knocking: Complete,,No,User completed a door-knocking outreach task.
Outreach Page,Outreach - Phone Banking: Complete,,No,User completed a phone-banking outreach task.
Outreach Page,Outreach - Action Clicked,"outreachId, medium, action",No,User clicked an action on an item in the outreach table.
Polls (Create),Polls - Create Poll Clicked,,No,User clicked Create Poll on the polls list page.
Polls (Create),Polls - Poll Question Viewed,,No,User viewed the question-writing step.
Polls (Create),Polls - Poll Question Completed,Introduction (1-based index of selected intro template),No,User finished writing the poll question and moved on.
Polls (Create),Polls - Poll Bias Detection Shown,,No,The AI bias warning was surfaced for the user's question text.
Polls (Create),Polls - Poll Question Optimized,,No,User accepted the AI-suggested optimized question.
Polls (Create),Polls - Audience Selection Viewed,,No,User viewed the audience selection step.
Polls (Create),Polls - Audience Selection Completed,"Selection, RecommendedSelection (bool), Count, Cost",No,User selected an audience. Captures reach/cost and whether they chose the recommended option.
Polls (Create),Polls - Schedule Poll Viewed,,No,User viewed the scheduling step.
Polls (Create),Polls - Schedule Poll Completed,ScheduledDate,No,User set a send date for their poll.
Polls (Create),Polls - Add Image Viewed,,No,User viewed the add-image step.
Polls (Create),Polls - Add Image Completed,Image (bool),No,User finished the image step. Captures whether an image was actually added.
Polls (Create),Polls - Poll Preview Viewed,,No,User previewed their poll.
Polls (Create),Polls - Poll Preview Completed,,No,User proceeded past the preview step.
Polls (Create),Payment - Schedule and Pay Viewed,,No,User reached the payment screen in the poll creation flow.
Polls (Create),Payment - Completed (create poll),"cost, count, type: New Serve Poll, email, hubspotId",No,User completed payment for a new poll.
Polls (Results & Expand),Polls - Poll Results Overview Viewed,status,No,User viewed the results overview for a poll.
Polls (Results & Expand),Polls - Poll Results Issue Details Viewed,,No,User drilled into a specific issue from poll results.
Polls (Results & Expand),Polls - Expand Poll Recommendations Viewed,,No,User viewed audience expansion recommendations.
Polls (Results & Expand),Polls - Expand Poll Recommendations Completed,"count, recommended (bool)",No,User selected an expanded audience option.
Polls (Results & Expand),Polls - Expand Poll Review Viewed,count,No,User viewed the review step before paying to expand.
Polls (Results & Expand),Payment - Review and Pay Screen Viewed,,No,User saw the payment review screen for a poll expansion.
Polls (Results & Expand),Payment - Completed (expand poll),,No,User completed payment to expand a poll.
AI Assistant,AI Assistant: Click new chat,,No,User started a new chat thread.
AI Assistant,AI Assistant: Ask a question,text,No,User submitted a message to the assistant.
AI Assistant,campaign_assistant_chatbot_input,input,No,Raw chatbot input event (inline string - not in EVENTS constant).
AI Assistant,AI Assistant: Click view chat history,,No,User opened the chat history panel.
AI Assistant,AI Assistant - Chat History: Click menu,,No,User opened the overflow menu on a chat thread.
AI Assistant,AI Assistant - Chat History: Click delete,,No,User deleted a chat thread.
AI Assistant,AI Assistant - Chat: Click thumbs up,,No,User gave a positive rating to an AI response.
AI Assistant,AI Assistant - Chat: Click thumbs down,,No,User gave a negative rating to an AI response.
AI Assistant,AI Assistant - Chat: Click regenerate,,No,User requested a new AI response.
AI Assistant,AI Assistant - Chat: Click copy,,No,User copied an AI response to clipboard.
Content Builder,Content Builder: Click Continue Questions,,No,User clicked to continue answering campaign questions that feed content generation.
Content Builder,Content Builder: Click Generate,,No,User clicked Generate to start AI content creation.
Content Builder,Content Builder: Select Template,"category, key",No,User chose a content template.
Content Builder,Content Builder: Close Additional Inputs,fields,No,User dismissed the additional-input panel.
Content Builder,Content Builder: Submit Additional Inputs,"fields, values",No,User submitted additional context fields before generating.
Content Builder,Content Builder: Click Content,"name, slug, key",No,User clicked into a piece of content in their library.
Content Builder,ai_content_generation_start,key,No,AI generation job was kicked off (inline string - not in EVENTS constant).
Content Builder,Content Builder - Editor: Click Regenerate,"name, key",No,User clicked to regenerate content in the editor.
Content Builder,Content Builder - Editor: Submit Regenerate,"name, key",No,User submitted a regenerate request.
Content Builder,Content Builder - Editor: Click Copy,"name, key",No,User copied the generated content.
Content Builder,Content Builder - Editor: Click Translate,"name, key",No,User clicked to translate content.
Content Builder,Content Builder - Editor: Submit Translate,,No,User submitted the translation request.
Content Builder,Content Builder - Editor: Open Version Picker,,No,User opened the version history picker.
Content Builder,Content Builder - Editor: Select Version,,No,User selected a prior version.
Content Builder,Content Builder - Editor: Open Kebab Menu,"name, slug, key",No,User opened the three-dot menu for a content item.
Content Builder,Content Builder - Editor: Click Rename,"name, slug, key",No,User clicked to rename a content item.
Content Builder,Content Builder - Editor: Click Delete,"name, slug, key",No,User clicked to delete a content item.
Pro Upgrade,Pro Upgrade: Click exit top nav,pathname,No,User clicked the exit button in the top nav during the upgrade flow.
Pro Upgrade,Pro Upgrade: Edit office,,No,User clicked to edit their office on the Pro sign-up page.
Pro Upgrade,Pro Upgrade: Submit edit office,,No,User submitted the office edit form.
Pro Upgrade,Pro Upgrade: Confirm office,,No,User confirmed their office is correct and continued.
Pro Upgrade,Pro Upgrade: Exit edit office,,No,User exited the office edit modal without saving.
Pro Upgrade,Pro Upgrade - Level Up Your Campaign Banner: Click upgrade,,No,User clicked Upgrade from the dashboard banner.
Pro Upgrade,Pro Upgrade - Modal: Modal Shown,"sessionCount, viabilityScore, variant, path",No,The Pro upgrade upsell modal was displayed.
Pro Upgrade,Pro Upgrade - Modal: Exit,"sessionCount, viabilityScore, variant, path",No,User closed the Pro upgrade modal.
Pro Upgrade,Pro Upgrade - Modal: Click Button,"sessionCount, viabilityScore, variant, path",No,User clicked the CTA in the Pro upgrade modal.
Pro Upgrade,P2P Upgrade - Modal: Modal Shown,"variant, modalType: P2PUpgrade",No,The P2P texting upgrade modal appeared (shown to non-pro users trying to text).
Pro Upgrade,P2P Upgrade - Modal: Exit,"variant, modalType: P2PUpgrade",No,User closed the P2P upgrade modal.
Pro Upgrade,P2P Upgrade - Modal: Click Button,"variant, modalType: P2PUpgrade, buttonText",No,User clicked the CTA in the P2P upgrade modal.
Pro Upgrade,Pro Upgrade - Splash Page: Click upgrade,,No,User clicked Upgrade on the Pro splash page.
Pro Upgrade,Pro Upgrade - Splash Page: Exit,,No,User exited the Pro splash page.
Pro Upgrade,Pro Upgrade - Committee Check Page: Click back,,No,User went back from the committee check step.
Pro Upgrade,Pro Upgrade - Committee Check Page: Click next,,No,User advanced past the committee check step.
Pro Upgrade,Pro Upgrade - Committee Check Page: Hover Name of Campaign Committee help,,No,User hovered the help tooltip for committee name.
Pro Upgrade,Pro Upgrade - Committee Check Page: Toggle EIN requirement,required (bool),No,User toggled whether they have an EIN.
Pro Upgrade,Pro Upgrade - Committee Check Page: Hover EIN number help,,No,User hovered the help tooltip for EIN.
Pro Upgrade,Pro Upgrade - Committee Check Page: Click Upload,,No,User clicked to upload supporting documents.
Pro Upgrade,Pro Upgrade - Committee Check Page: Hover Upload help,,No,User hovered the help tooltip for file upload.
Pro Upgrade,Pro Upgrade - Service Agreement Page: Click back,,No,User went back from the service agreement.
Pro Upgrade,Pro Upgrade - Service Agreement Page: Click finish,,No,User accepted the service agreement.
Pro Upgrade,Pro Upgrade: Click Go to Stripe,,No,User clicked to proceed to the Stripe payment page.
Pro Upgrade,pro_upgrade_complete,pro: true,No,User successfully completed the Pro purchase.
Contacts & Segments,Contacts - Download,dynamic (file type / format),No,User downloaded their contacts list.
Contacts & Segments,Contacts - Segment Created,filters (object of active filter values),No,User created a new custom contact segment.
Contacts & Segments,Contacts - Segment Updated,filters,No,User modified an existing segment's filters.
Contacts & Segments,Contacts - Segment Deleted,,No,User deleted a custom segment.
Contacts & Segments,Contacts - Segment Viewed,"segment (name), type (custom or default)",No,User selected a segment to view.
Contacts & Segments,Contacts - Column Edited,,No,User edited the visible columns in the contacts table.
Voter Data,Voter Data: Click Need Help,,No,User clicked Need Help on the voter records page.
Voter Data,Voter Data - Need Help: Exit modal,,No,User closed the help modal.
Voter Data,Voter Data - Need Help: Select Voter File type,type,No,User selected which type of voter file they need help with.
Voter Data,Voter Data - Need Help: Submit,"type, hasMessage (bool)",No,User submitted the help request form.
Voter Data,Voter Data: Click Create Custom Voter File,position,No,User clicked to create a custom file. position captures which button on the page they clicked.
Voter Data,Voter Data - Custom Voter File: Exit modal,,No,User exited the custom voter file modal.
Voter Data,Voter Data - Custom Voter File: Select Channel,channel,No,User selected the distribution channel for the file.
Voter Data,Voter Data - Custom Voter File: Select Purpose,purpose,No,User selected the campaign purpose for the file.
Voter Data,Voter Data - Custom Voter File: Click Next,,No,User advanced in the custom file flow.
Voter Data,Voter Data - Custom Voter File - Audience: Check Audience,,No,User selected an audience type filter.
Voter Data,Voter Data - Custom Voter File - Audience: Check Political Party,,No,User filtered by party.
Voter Data,Voter Data - Custom Voter File - Audience: Check Age,,No,User filtered by age range.
Voter Data,Voter Data - Custom Voter File - Audience: Check Gender,,No,User filtered by gender.
Voter Data,Voter Data - Custom Voter File - Audience: Click Back,,No,User went back in the audience step.
Voter Data,Voter Data - Custom Voter File: Click Create,fileName,No,User submitted the custom file creation with a filename.
Voter Data,Voter Data: Click Detail View,"type, file, isCustom (bool)",No,User clicked to open a specific voter file's detail page.
Voter Data,Voter Data - File Detail: Click Back,,No,User navigated back from a file detail page.
Voter Data,Voter Data - File Detail: Click Download CSV,"type, file",No,User initiated a CSV download.
Voter Data,Voter Data - File Detail: Click View Audience Filters,,No,User clicked to see the audience filters on a custom file.
Voter Data,Voter Data - File Detail: Click Custom File Info Icon,,No,User clicked the info icon on a custom voter file.
Voter Data,Voter Data - File Detail - Learn & Take Action: Click Write Script,,No,User clicked Write Script in the take-action section.
Voter Data,Voter Data - File Detail - Learn & Take Action: Click Read More,,No,User clicked Read More in the take-action section.
Voter Data,Voter Data - File Detail - Learn & Take Action: Click Schedule,type,No,User clicked Schedule Today to set up a text campaign from the file detail page.
Voter Data,Voter Data - File Detail - Recommended Partners: Click Read More,,No,User clicked Read More on a recommended vendor.
Voter Data,Download Voter File attempt,type,No,A voter file download was initiated.
Voter Data,Download Voter File Success,type,No,Voter file downloaded successfully.
Voter Data,Download Voter File Failure,"type, slug (campaign slug)",No,Voter file download failed.
Profile / Campaign Details,Profile - Campaign Details: Click Save,,No,User saved changes in the campaign details section.
Profile / Campaign Details,Profile - Office Details: Click Edit,,No,User clicked to edit their office.
Profile / Campaign Details,Profile - Office Details: Click Save,,No,User saved updated office details.
Profile / Campaign Details,Profile - Running Against: Click Add New,,No,User clicked to add a new opponent.
Profile / Campaign Details,Profile - Running Against: Submit Add New,,No,User saved a new opponent entry.
Profile / Campaign Details,Profile - Running Against: Cancel Add New,,No,User cancelled adding an opponent.
Profile / Campaign Details,Profile - Running Against: Click Edit,,No,User clicked to edit an existing opponent.
Profile / Campaign Details,Profile - Running Against: Submit Edit,,No,User saved edits to an opponent.
Profile / Campaign Details,Profile - Running Against: Cancel Edit,,No,User cancelled the opponent edit.
Profile / Campaign Details,Profile - Running Against: Click Delete,,No,User clicked to delete an opponent.
Profile / Campaign Details,Profile - Running Against: Click Save,,No,User clicked Save on the running against section.
Profile / Campaign Details,Profile - Why Section: Click Save,,No,User saved the Why Im Running section.
Profile / Campaign Details,Profile - Fun Fact: Click Save,,No,User saved a fun fact about themselves.
Profile / Campaign Details,Profile - Top Issues: Click Finish Entering Issues,,No,User clicked the button to finish adding issues and move to the questions flow.
Profile / Campaign Details,Profile - Top Issues: Click Edit,,No,User clicked to edit an issue position.
Profile / Campaign Details,Profile - Top Issues: Submit Edit,,No,User saved changes to an issue position.
Profile / Campaign Details,Profile - Top Issues: Cancel Edit,,No,User cancelled editing an issue.
Profile / Campaign Details,Profile - Top Issues: Click Delete,,No,User clicked to delete an issue.
Profile / Campaign Details,Profile - Top Issues: Submit Delete,,No,User confirmed issue deletion.
Profile / Campaign Details,Profile - Top Issues: Cancel Delete,,No,User cancelled the issue deletion.
Settings,Settings - Personal Info: Click Upload,,No,User clicked to upload a new profile photo.
Settings,Settings - Personal Info: Click Save,,No,User saved personal info (name / phone / zip).
Settings,Settings - Account Settings: Click Upgrade,,No,User clicked Upgrade Plan in account settings.
Settings,Settings - Account Settings: Click Send Email,,No,User clicked the email support link in account settings.
Settings,Settings - Account Settings: Click Manage Pro Subscription,,No,User opened the Stripe billing portal.
Settings,Settings - Notifications: Toggle Email,"email (notification key), enabled (bool)",No,User toggled an email notification preference.
Settings,Settings - Password: Click Save,,No,User submitted a password change.
Settings,Settings - Delete Account: Click Delete,,No,User clicked the Delete Account button.
Settings,Settings - Delete Account: Submit Delete,,No,User confirmed account deletion.
Settings,Settings - Delete Account: Cancel Delete,,No,User cancelled account deletion.
Settings,Account - Pro Subscription Canceled,cancellationDate,No,Detected on page load when a pro subscription has a scheduled cancellation date.
Candidacy / Election,Candidacy - Did You Win Modal Viewed,,No,The Did You Win modal was shown to the user after their election date.
Candidacy / Election,Candidacy - Did You Win Modal Completed,status (won/lost/etc.),No,User reported their election outcome.
Candidacy / Election,Candidacy - Campaign Completed,"winner (bool), officeElectionDate, primary: true",No,User reported a primary election result.
Candidate Website,Candidate Website - Started,,No,User created their first website and entered the build flow.
Candidate Website,Candidate Website - Continued,,No,User returned to finish a draft website.
Candidate Website,Candidate Website - Published,,YES - HubSpot workflow 1739355978,User published their website for the first time.
Candidate Website,Candidate Website - Unpublished,,No,User unpublished their website.
Candidate Website,Candidate Website - Edited,,No,User saved changes to an already-published website.
Candidate Website,Candidate Website - Started domain selection,,No,User clicked to navigate to the domain selection page.
Candidate Website,Candidate Website - Selected domain,"domainSearchedFor, domainSelected, priceOfSelectedDomain",No,User selected a custom domain from search results.
Candidate Website,Candidate Website - Purchased domain,"domainSelected, priceOfSelectedDomain",YES - HubSpot workflow 1739356013,User completed domain purchase.
Misc / One-offs,question_complete,complete: true,No,User completed the campaign Q&A questionnaire.
